year,month,month_name,quarter,year_quarter,total_orders,total_order_lines,total_customers,total_units_sold,total_sales,total_profit,total_discounts,otif_rate,on_time_rate,in_full_rate,avg_delivery_days,avg_scheduled_days,avg_delay_days,avg_processing_days,avg_order_value,profit_margin_pct,avg_sales_per_line,avg_units_per_order,distinct_products_sold,loss_orders,loss_rate_pct
2015,1,janvier,1,2015-Q1,1786,5321,1667,11853,1051290.08,111571.95,106149.28,15.279082879158054,44.05186994925766,33.07648938169517,3.5493328321744033,3.008644991542943,0.5406878406314602,3.5493328321744033,588.628264,10.6128,197.573779,2,54,1024,19.24450291298628
2015,2,février,1,2015-Q1,1585,4729,1500,10438,927009.88,99140.66,93998.57,13.110594205963205,42.08077817720448,32.14210192429689,3.4986255022203427,2.9001903150771833,0.5984351871431592,3.4986255022203427,584.864277,10.6946,196.026618,2,54,872,18.439416367096637
2015,3,mars,1,2015-Q1,1781,5362,1654,12062,1051253.67,113778.21,107204.88,14.11786646773592,42.782543826930244,30.697500932487877,3.4912346139500188,2.9192465497948525,0.571988064155166,3.4912346139500188,590.260342,10.823,196.05626,2,54,957,17.847817978366283
2015,4,avril,2,2015-Q2,1710,5126,1596,11287,1014463.26,108083.68,102460.16,14.923917284432306,43.56223175965665,32.344908310573544,3.53667577058135,2.9892703862660945,0.5474053843152555,3.53667577058135,593.253368,10.6542,197.905435,2,54,1001,19.527896995708154
2015,5,mai,2,2015-Q2,1776,5357,1654,11902,1050478.42,112147.9,106539.92,14.37371663244353,41.92645137203659,34.04890797087922,3.475079335448945,2.9184244913197683,0.5566548441291768,3.475079335448945,591.485596,10.6758,196.094534,2,54,983,18.34982266193765
2015,6,juin,2,2015-Q2,1725,5134,1616,11203,1024006.15,110147.16,103765.36,14.179976626412156,43.72808726139462,33.1320607713284,3.5229840280483056,2.985391507596416,0.5375925204518893,3.5229840280483056,593.626753,10.7564,199.455814,2,54,967,18.835216205687573
2015,7,juillet,3,2015-Q3,1763,5299,1628,11800,1038081.17,115624.06,105145.67,13.644083789394227,42.40422721268164,32.15701075674656,3.4682015474617853,2.894885827514625,0.5733157199471598,3.4682015474617853,588.815184,11.1382,195.901334,2,54,1003,18.928099641441783
2015,8,août,3,2015-Q3,1762,5273,1650,11612,1029494.67,117979.77,104303.01,14.564763891522853,41.854731651811115,33.94652000758581,3.4695619192110754,2.8733168974018586,0.5962450218092168,3.4695619192110754,584.276203,11.4599,195.23889,2,54,957,18.149061255452303
2015,9,septembre,3,2015-Q3,1706,5140,1608,11366,1018338.58,113467.94,103817.56,12.762645914396886,41.14785992217899,32.4124513618677,3.528793774319066,2.9463035019455255,0.5824902723735409,3.528793774319066,596.915932,11.1424,198.120346,2,54,958,18.638132295719846
2015,10,octobre,4,2015-Q4,1775,5302,1635,11703,1049154.25,101757.87,106024.42,13.843832516031688,42.88947566955866,32.327423613730666,3.4741606940777063,2.929837797057714,0.5443228970199925,3.4741606940777063,591.072816,9.699,197.87896,2,54,991,18.69105997736703
2015,11,novembre,4,2015-Q4,1729,5235,1604,11463,1029120.22,104427.36,104518.97,14.651384909264564,43.59121298949379,32.98949379178605,3.510601719197708,2.9484240687679084,0.5621776504297994,3.510601719197708,595.211231,10.1472,196.584569,2,54,964,18.414517669531996
2015,12,décembre,4,2015-Q4,1805,5371,1685,11790,1057840.86,110641.55,107315.25,13.219139824986037,42.72947309625768,30.310929063489105,3.4641593744181716,2.8989015080990503,0.5652578663191212,3.4641593744181716,586.061418,10.4591,196.954172,2,54,1029,19.158443492831875
2016,1,janvier,1,2016-Q1,1772,5317,1643,11597,1046308.23,106780.95,106025.88,13.560278352454391,42.053789731051346,32.91329697197668,3.4797818318600715,2.8841451946586423,0.5956366372014293,3.4797818318600715,590.467398,10.2054,196.785448,2,54,1006,18.920443859319164
2016,2,février,1,2016-Q1,1650,4894,1525,10765,968542.83,86809.49,98427.3,13.588067020841846,43.6657131181038,31.160604822231303,3.561708214139763,3.013485901103392,0.548222313036371,3.561708214139763,586.995654,8.9628,197.904133,2,54,976,19.942787086228034
2016,3,mars,1,2016-Q1,1764,5210,1647,11349,1025853.1,101259.99,104366.66,12.629558541266794,42.226487523992326,33.51247600767754,3.471017274472169,2.912667946257198,0.5583493282149712,3.471017274472169,581.549376,9.8708,196.900786,2,54,1018,19.539347408829176
2016,4,avril,2,2016-Q2,1706,5097,1598,11208,1001211.56,114976.62,100719.84,14.302530900529723,42.750637629978414,32.999803806160486,3.5289385913282323,2.9503629586030997,0.5785756327251325,3.5289385913282323,586.876647,11.4837,196.43154,2,54,947,18.5795566019227
2016,5,mai,2,2016-Q2,1763,5302,1663,11603,1029400.18,110716.12,104423.22,13.787250094304035,42.02187853640136,34.062617880045266,3.4700113164843454,2.877781969068276,0.5922293474160694,3.4700113164843454,583.891196,10.7554,194.153183,2,54,996,18.78536401357978
2016,6,juin,2,2016-Q2,1690,5054,1592,11008,1003059.53,104196.07,101612.76,14.04827859121488,41.09616145627226,34.823901859912944,3.544321329639889,2.906015037593985,0.6383062920459043,3.544321329639889,593.526349,10.3878,198.468446,2,54,926,18.322121092204195
2016,7,juillet,3,2016-Q3,1758,5305,1656,11652,1045715.6,119941.72,106500.52,13.911404335532518,44.80678605089538,34.608859566446746,3.445994344957587,2.914043355325165,0.5319509896324223,3.445994344957587,594.832536,11.4698,197.118868,2,54,990,18.661639962299716
2016,8,août,3,2016-Q3,1766,5334,1666,11683,1048200.23,110729.54,105792.52,14.435695538057743,43.02587176602925,34.15823022122235,3.4780652418447695,2.954068241469816,0.5239970003749531,3.4780652418447695,593.544864,10.5637,196.512979,2,54,1046,19.61004874390701
2016,9,septembre,3,2016-Q3,1730,5160,1608,11284,1002397.02,123384.71,102026.62,15.0968992248062,43.15891472868217,34.418604651162795,3.4825581395348837,2.9158914728682173,0.5666666666666667,3.4825581395348837,579.420242,12.3089,194.262988,2,54,917,17.771317829457363
2016,10,octobre,4,2016-Q4,1776,5398,1689,11936,1048130.53,116781.97,106249.53,13.856984068173398,43.071507965913305,32.30826231937755,3.455909596146721,2.889403482771397,0.5665061133753242,3.455909596146721,590.163586,11.1419,194.170161,2,54,955,17.691737680622452
2016,11,novembre,4,2016-Q4,1721,5210,1603,11493,1047590.12,109539.2,106394.08,14.337811900191937,43.07101727447217,34.37619961612285,3.525911708253359,2.9491362763915547,0.5767754318618042,3.525911708253359,608.710122,10.4563,201.072959,2,54,1000,19.193857965451055
2016,12,décembre,4,2016-Q4,1763,5269,1640,11774,1037408.15,105002.69,105296.6,13.987473903966595,41.44999051053331,34.940216359840576,3.4731448092617194,2.919529322452078,0.5536154868096413,3.4731448092617194,588.433437,10.1216,196.889001,2,54,1031,19.56728031884608
2017,1,janvier,1,2017-Q1,1745,5217,1629,11605,1029698.0,114843.85,104226.64,14.107724746022617,44.02913551849722,32.16407897258961,3.5706344642514853,3.028368794326241,0.5422656699252444,3.5706344642514853,590.084813,11.1531,197.373586,2,54,958,18.36304389495879
2017,2,février,1,2017-Q1,1614,4906,1491,11070,992534.88,115111.07,100611.81,13.8401956787607,42.4582144313086,33.469221361598045,3.509580105992662,2.9162250305748065,0.5933550754178557,3.509580105992662,614.953457,11.5976,202.310411,2,54,838,17.081125152874034
2017,3,mars,1,2017-Q1,1782,5347,1674,11676,1048004.76,118688.9,105715.63,14.494108846081916,42.22928745090705,30.540489994389375,3.4851318496353096,2.9208902188142885,0.5642416308210211,3.4851318496353096,588.105925,11.3252,195.998645,2,54,993,18.57116139891528
2017,4,avril,2,2017-Q2,1739,5212,1610,11189,1038321.6,115961.06,106004.69,14.447429009976975,43.53415195702225,33.46124328472755,3.5473906369915578,2.977551803530315,0.5698388334612433,3.5473906369915578,597.0797,11.1681,199.217498,2,87,973,18.668457405986185
2017,5,mai,2,2017-Q2,1763,5317,1654,11033,1105485.3,115014.64,112287.53,14.70754184690615,43.163438028963704,32.83806657889787,3.4568365619710364,2.917434643596013,0.5394019183750235,3.4568365619710364,627.047816,10.4039,207.915234,2,42,1038,19.522287003949597
2017,6,juin,2,2017-Q2,1676,4951,1578,10194,1032086.47,110399.29,104641.62,14.643506362351042,44.011310846293675,31.064431427994343,3.5134316299737427,2.9967683296303775,0.5166633003433649,3.5134316299737427,615.803383,10.6967,208.460203,2,42,968,19.551605736214906
2017,7,juillet,3,2017-Q3,1776,5318,1662,11091,1104373.34,113026.7,111951.16,12.241444151936818,41.70740880030087,30.236931177134263,3.4590071455434375,2.877021436630312,0.5819857089131253,3.4590071455434375,621.831835,10.2344,207.667044,2,42,1021,19.198946972546068
2017,8,août,3,2017-Q3,1768,5305,1637,11095,1109337.15,131501.16,112830.56,13.798303487276154,41.41376060320452,34.77851083883129,3.5147973609802072,2.9029217719132894,0.611875589066918,3.5147973609802072,627.453139,11.854,209.111621,2,42,932,17.568331762488217
2017,9,septembre,3,2017-Q3,1723,5189,1620,10502,1143775.09,122462.39,116664.51,14.318751204470997,42.7057236461746,34.669493158604745,3.4621314318751204,2.9300443245326653,0.5320871073424552,3.4621314318751204,663.827678,10.7068,220.423027,2,53,944,18.192329928695315
2017,10,octobre,4,2017-Q4,2101,2255,2101,2490,1073994.16,113447.17,107913.68,14.944567627494457,43.94678492239468,33.48115299334812,3.502439024390244,2.9658536585365853,0.5365853658536586,3.502439024390244,511.18237,10.5631,476.272354,1,20,399,17.694013303769403
2017,11,novembre,4,2017-Q4,2055,2055,2055,2055,626914.37,67791.25,63521.58,13.284671532846716,42.23844282238443,33.33333333333333,3.518734793187348,2.9391727493917275,0.5795620437956205,3.518734793187348,305.067819,10.8134,305.067819,1,8,437,21.265206812652067
2017,12,décembre,4,2017-Q4,2124,2124,2124,2124,503910.81,65837.55,51170.48,13.041431261770246,41.85499058380414,32.580037664783426,3.498587570621469,2.9213747645951034,0.5772128060263654,3.498587570621469,237.246144,13.0653,237.246144,1,14,360,16.94915254237288
2018,1,janvier,1,2018-Q1,2123,2123,2123,2123,331650.11,33841.89,33699.93,13.42439943476213,41.3094677343382,33.39613754121526,3.5040037682524727,2.8911917098445596,0.6128120584079133,3.5040037682524727,156.217668,10.204,156.217668,1,10,409,19.265190767781444
