year,month,market,category_name,customer_segment,shipping_mode,total_orders,total_sales,total_profit,total_discount,total_quantity,loss_orders,discounted_orders,debit_orders,transfer_orders,loss_amount,gain_amount,profit_margin_pct,loss_rate_pct,discount_rate_pct,profit_per_unit,avg_order_value
2015,1,LATAM,Accessories,Consumer,Standard Class,15,974.61,256.1,84.97,39,1,13,8,7,-0.99,257.09,26.27717753768174,6.666666666666667,86.66666666666667,6.566666,64.974
2015,1,LATAM,Baseball & Softball,Corporate,Second Class,2,279.92,8.96,41.98,8,1,2,1,0,-27.4,36.36,3.2009145470134324,50.0,100.0,1.12,139.96
2015,1,LATAM,Baseball & Softball,Consumer,Second Class,1,239.96,-51.83,9.6,4,1,1,0,1,-51.83,0.0,-21.599433238873146,100.0,100.0,-12.9575,239.96
2015,1,LATAM,Accessories,Home Office,Standard Class,5,324.87,94.86,22.74,13,0,4,3,1,0.0,94.86,29.19937205651491,0.0,80.0,7.296923,64.974
2015,1,LATAM,Accessories,Corporate,Standard Class,18,1174.53,-173.98,135.23,47,7,18,8,3,-368.39,194.41,-14.81273360407993,38.88888888888889,100.0,-3.701702,65.251666
2015,1,LATAM,Baseball & Softball,Consumer,First Class,4,534.89,93.19,39.65,11,1,4,1,2,-69.81,163.0,17.42227373852568,25.0,100.0,8.471818,133.7225
2015,1,LATAM,Accessories,Consumer,First Class,3,199.92,36.13,23.74,8,0,3,1,2,0.0,36.13,18.072228891556623,0.0,100.0,4.51625,66.64
2015,1,LATAM,Accessories,Consumer,Second Class,3,149.94,-4.45,20.12,6,1,3,0,2,-16.53,12.08,-2.967853808189943,33.33333333333333,100.0,-0.741666,49.98
2015,1,LATAM,Accessories,Corporate,First Class,2,199.92,81.99,27.74,8,0,2,1,0,0.0,81.99,41.01140456182473,0.0,100.0,10.24875,99.96
2015,1,LATAM,Camping & Hiking,Home Office,Standard Class,46,13799.08,1297.91,1095.0,46,9,41,15,14,-1839.7,3137.61,9.4057719790015,19.565217391304348,89.13043478260869,28.215434,299.98
2015,1,LATAM,Camping & Hiking,Consumer,First Class,30,8999.4,491.25,963.0,30,6,28,11,9,-1467.37,1958.62,5.458697246483099,20.0,93.33333333333333,16.375,299.98
2015,1,LATAM,Boxing & MMA,Consumer,First Class,1,54.97,11.77,5.5,1,0,1,0,1,0.0,11.77,21.41167909768965,0.0,100.0,11.77,54.97
2015,1,LATAM,Accessories,Home Office,First Class,2,99.96,43.6,11.0,4,0,2,2,0,0.0,43.6,43.61744697879152,0.0,100.0,10.9,49.98
2015,1,LATAM,Boxing & MMA,Home Office,Standard Class,2,274.85,105.49,26.94,5,0,2,2,0,0.0,105.49,38.380935055484805,0.0,100.0,21.098,137.425
2015,1,LATAM,Baseball & Softball,Home Office,First Class,1,174.95,-251.14,22.74,5,1,1,1,0,-251.14,0.0,-143.54958559588454,100.0,100.0,-50.228,174.95
2015,1,LATAM,Baseball & Softball,Corporate,Standard Class,5,839.86,137.11,109.19,14,2,5,3,2,-37.8,174.91,16.325339937608653,40.0,100.0,9.793571,167.972
2015,1,LATAM,Accessories,Corporate,Second Class,5,474.81,61.08,82.48,19,1,5,2,2,-7.2,68.28,12.8640930056233,20.0,100.0,3.214736,94.962
2015,1,LATAM,Cleats,Home Office,Standard Class,84,14277.62,-113.15,1386.45,238,20,80,32,21,-2767.31,2654.16,-0.7924990299503699,23.809523809523807,95.23809523809523,-0.47542,169.971666
2015,1,LATAM,Camping & Hiking,Consumer,Standard Class,131,39297.38,2639.62,4264.5,131,27,126,59,22,-5042.16,7681.78,6.717038133331027,20.610687022900763,96.18320610687023,20.14977,299.98
2015,1,LATAM,Boxing & MMA,Consumer,Standard Class,1,164.91,64.64,32.98,3,0,1,0,1,0.0,64.64,39.197137832757264,0.0,100.0,21.546666,164.91
2015,1,LATAM,Accessories,Home Office,Same Day,1,74.97,18.89,7.5,3,0,1,1,0,0.0,18.89,25.196745364812596,0.0,100.0,6.296666,74.97
2015,1,LATAM,Camping & Hiking,Consumer,Same Day,15,4499.7,531.11,306.0,15,4,14,3,5,-334.85,865.96,11.803231326532881,26.666666666666668,93.33333333333333,35.407333,299.98
2015,1,LATAM,Baseball & Softball,Home Office,Standard Class,1,299.95,101.83,9.0,5,0,1,0,1,0.0,101.83,33.9489914985831,0.0,100.0,20.366,299.95
2015,1,LATAM,Camping & Hiking,Home Office,Same Day,2,599.96,201.59,43.5,2,0,2,1,0,0.0,201.59,33.6005733715581,0.0,100.0,100.795,299.98
